n_conv_layers,n_linear_layers,hidden_size,validation_loss,Test_loss
2,0,32,0.026597340630749904,0.028779571875929832
2,1,32,0.02665185322569284,0.018852857872843742
3,0,32,0.02137211787963419,0.011727049946784973
3,1,32,0.020642833472395847,0.013180390931665897
4,0,32,0.017556893700592418,0.010953354649245739
4,1,32,0.020742598912745182,0.012612348422408104
2,0,64,0.019416702630613663,0.01042680349200964
2,1,64,0.09437150065787137,0.07468131929636002
3,0,64,0.020904491742840037,0.012839918956160545
3,1,64,0.09433679352514446,0.06836211681365967
4,0,64,0.01875925601052586,0.01120026409626007
4,1,64,0.09437150065787137,0.06836050003767014
