n_conv_layers,n_linear_layers,hidden_size,validation_loss,Test_loss
2,0,32,0.20183531656013137,0.19856980443000793
2,1,32,0.0013011397947723577,0.0074563114903867245
3,0,32,0.20202465428571617,0.19977113604545593
3,1,32,0.0020047337852052544,0.007102889474481344
4,0,32,0.2016604535352339,0.20853786170482635
4,1,32,0.0010937318779074953,0.007483870256692171
2,0,64,0.20225048387822295,0.1981494277715683
2,1,64,0.0013178162445066327,0.004942555446177721
3,0,64,0.20175402104255877,0.20794692635536194
3,1,64,0.001192573638685904,0.012977253645658493
4,0,64,0.2014115197234787,0.20806865394115448
